"nCorrida","dimesionArreglo","tiempo"
"0","100.0","9000.0"
"1","500.0","39000.0"
"2","1000.0","87200.0"
"3","1500.0","273400.0"
"4","2000.0","271900.0"
"5","3000.0","701100.0"
"6","4000.0","707700.0"
"7","5000.0","1075300.0"
"8","7000.0","1568800.0"
"9","10000.0","3259400.0"
