"nCorrida","dimesionArreglo","tiempo"
"0","100.0","5600.0"
"1","500.0","25000.0"
"2","1000.0","67300.0"
"3","1500.0","150800.0"
"4","2000.0","236800.0"
"5","3000.0","433200.0"
"6","4000.0","652300.0"
"7","5000.0","1436700.0"
"8","7000.0","1498400.0"
"9","10000.0","2199700.0"
