"nCorrida","dimesionArreglo","tiempo"
"0","100.0","46800.0"
"1","500.0","262100.0"
"2","1000.0","717500.0"
"3","1500.0","2087000.0"
"4","2000.0","2170900.0"
"5","3000.0","3288800.0"
"6","4000.0","4272200.0"
"7","5000.0","6016000.0"
"8","7000.0","9327300.0"
"9","10000.0","1.19654E7"
