"nCorrida","dimesionArreglo","tiempo"
"0","100.0","272600.0"
"1","500.0","313100.0"
"2","1000.0","1085600.0"
"3","1500.0","2192600.0"
"4","2000.0","2027400.0"
"5","3000.0","2701200.0"
"6","4000.0","5908200.0"
"7","5000.0","8164600.0"
"8","7000.0","1.27308E7"
"9","10000.0","1.84326E7"
