"nCorrida","dimesionArreglo","tiempo"
"0","100.0","83300.0"
"1","500.0","75600.0"
"2","1000.0","281600.0"
"3","1500.0","744000.0"
"4","2000.0","821500.0"
"5","3000.0","1362100.0"
"6","4000.0","4196300.0"
"7","5000.0","4443300.0"
"8","7000.0","7956900.0"
"9","10000.0","7928500.0"
