"nCorrida","dimesionArreglo","tiempo"
"0","100.0","68700.0"
"1","500.0","74500.0"
"2","1000.0","195700.0"
"3","1500.0","524900.0"
"4","2000.0","1043300.0"
"5","3000.0","1532600.0"
"6","4000.0","2160300.0"
"7","5000.0","2642200.0"
"8","7000.0","3670800.0"
"9","10000.0","5764600.0"
