"nCorrida","dimesionArreglo","tiempo"
"0","100.0","13700.0"
"1","500.0","13600.0"
"2","1000.0","25000.0"
"3","1500.0","44700.0"
"4","2000.0","95800.0"
"5","3000.0","214500.0"
"6","4000.0","902300.0"
"7","5000.0","1096000.0"
"8","7000.0","849600.0"
"9","10000.0","3820400.0"
