"nCorrida","dimesionArreglo","tiempo"
"0","100.0","5300.0"
"1","500.0","4900.0"
"2","1000.0","10100.0"
"3","1500.0","19600.0"
"4","2000.0","38500.0"
"5","3000.0","72500.0"
"6","4000.0","174800.0"
"7","5000.0","159600.0"
"8","7000.0","235500.0"
"9","10000.0","113700.0"
