"nCorrida","dimesionArreglo","tiempo"
"0","100.0","1221600.0"
"1","500.0","627300.0"
"2","1000.0","798300.0"
"3","1500.0","592700.0"
"4","2000.0","824100.0"
"5","3000.0","1630500.0"
"6","4000.0","3174100.0"
"7","5000.0","4679800.0"
"8","7000.0","7813900.0"
"9","10000.0","7283700.0"
